Name,Address,Place_ID,Latitude,Longitude
Maou Pilates Studio - Hegyvidék,"Budapest, Greguss utca 4",ChIJod7XfNvdQUcReXZEE6pEXwY,47.4989447,19.02298619999999
Tigers Gym,"Budapest, Havanna utca 3",ChIJf1WyVVnCQUcR__6E5CJPVCI,47.44351219999999,19.1682589
Familia Fitness Sport & Shop,"Budapest, Fő utca 80",ChIJlwMxQhvcQUcRiF3_839pNDU,47.5101938,19.0379421
Erőmű Fitness Stúdió,"Pécel, Rákóczi út 36-B.ép",ChIJL5X8kwTHQUcRAV0BywHjAxc,47.4948713,19.3247339
Tibi Bá' Box Academy,"Budaörs, Víg utca 24",ChIJp-9vEgDfQUcR1Z0xxWCaMc4,47.462324,18.9473862
PRIMEFIT-Újpalota,"Budapest, Zsókavár utca 41-47",ChIJVxGeKN_bQUcRuEt_grjdRtU,47.54039770000001,19.1433287
Infinity Jóga és Gerinctréning,"Budapest, Rozsos utca 42",ChIJ-_SsMfrEQUcR51Y-_zlr7v0,47.53747920000001,19.1876415
Nr1 Fitness Óbuda 24/7,"Budapest, Lajos utca 66",ChIJ0YgcqvPZQUcRwzTwczGscX0,47.530624,19.0394799
Life1 Fitness Corvin mélygarázs/parkoló,"Budapest, Nagy Templom utca 25",ChIJWZkye_fcQUcRvXImh94SSao,47.4851951,19.0751914
IN SHAPE STÚDIÓ- Reformer Pilates Paradise- Aesthetics Clinic well-aging a teljes megújulásért.,"Nagytarcsa, Rákóczi utca 31",ChIJ5dsK8kXHQUcRnuV720y0ux4,47.525732,19.2849951
Havasi Judo Club,"Budapest, Krisztina körút 23",ChIJU2QSbCPcQUcRr9WR6A5zUAM,47.5047165,19.0235892
Fény Jógaterápiás Intézet,"Budapest, Szegfű utca 2",ChIJg8UPltTYQUcRe2OzKjSApW4,47.5490314,18.9648918
City Squash Club,"Budapest, Marczibányi tér 13",ChIJ4XdewqXeQUcRAgKwWRoWHQ0,47.5124254,19.0220392
Ajna Jóga - és Mozgásstúdió,"Budapest, Bartók Béla út 80",ChIJ43-LBLTdQUcRXz8QXutFToU,47.4757269,19.0420793
Ventura Fitness,"Budapest, Fehérvári út 179",ChIJi7yUrpvdQUcRFPWKXD89ItI,47.4541356,19.0389126
Birds of Paradise,"Budapest, Hattyú utca 14",ChIJM2FHDh7cQUcRK6BLSYXgaaQ,47.5075683,19.0289683
Body Flex Gym,"Budapest, Öregfalusi utca 12",ChIJYYYX1V7aQUcRAKH1TUz7Vcc,47.56342049999999,19.1219742
PoleCenter Boutique,"Budapest, Árpád út 88",ChIJOYwv_qPbQUcR5P06JYd-HPs,47.5602375,19.092337
Albert utcai pingpongasztalok,"Budapest, Albert utca 32",ChIJc_4dTgDdQUcRNP5jHnjWamM,47.4550866,19.0377147
Ferencvárosi Evezős Club,"Budapest, Vízisport utca 24",ChIJ2Ycq7v_nQUcRLoEeoRLoSxo,47.4305275,19.0919293
Arnold Gym,"Budapest, Szépvölgyi út 15",ChIJ3S1NllbZQUcRqCdUlj1DLXY,47.5278855,19.0363166
Nr1 Fitness Rákóczi 24/7,"Budapest, József körút 35",ChIJo90zQbXdQUcRNSra8BZnZkI,47.49205389999999,19.0707302
